IN09_SMSA,MSA_Codebook,MSA,IN85_HUDMED,IN87_HUDMED,IN89_HUDMED,IN91_HUDMED,IN93_HUDMED,IN95_HUDMED,IN97_HUDMED,IN99_HUDMED,IN01_HUDMED,IN03_HUDMED,IN05_HUDMED,IN07_HUDMED,IN09_HUDMED
6920,"6920 Sacramento, CA",6920,27950,31600,36100,39700,42600,45200,48400,51900,56300,59800,64100,67200,72800
275,"7040 Saint Louis, MO-IL",7040,30250,33800,37200,39200,43700,44600,49300,52000,60400,63900,65900,63300,67900
2285,"7040 Saint Louis, MO-IL",7040,30250,33800,37200,39200,43700,44600,49300,52000,60400,63900,65900,63300,67900
7040,"7040 Saint Louis, MO-IL",7040,30250,33800,37200,39200,43700,44600,49300,52000,60400,63900,65900,63300,67900
7120,"7120 Salinas-Seaside-Monterey, CA",7120,26900,30600,34700,38000,39900,41800,45600,49400,52600,55600,60800,63400,67300
7160,"7160 Salt Lake City-Ogden, UT",7160,29700,32400,34800,35700,40600,42200,47700,50300,54300,61100,61350,61766.67,68266.67
7240,"7240 San Antonio, TX",7240,24350,27100,30000,33000,34500,34900,38900,41900,45300,50500,51500,53700,57200
7320,"7320 San Diego, CA",7320,27950,31400,36700,41300,43900,45400,48600,52500,56900,59900,63400,69400,74900
7360,"7360 San Francisco, CA",7360,34850,39800,44000,49900,54300,58800,64400,72400,80100,91500,95000,86500,96800
7400,"7400 San Jose, CA",7400,36100,43100,51100,57700,59300,64200,70200,82600,87300,105500,105500,94500,102500
7480,"7480 Santa Barbara-Santa Maria-Lompoc, CA",7480,32800,37400,44900,48500,45500,47500,49300,52100,56500,60600,64700,67100,70400
7500,"7500 Santa Rosa-Petaluma, CA",7500,29250,33500,39200,42900,46200,48400,51300,55900,61800,71500,74600,74500,80200
7510,"7510 Sarasota, FL",7510,24600,28200,31800,36800,39500,37700,41400,46000,50500,52600,55900,57500,62300
7560,"7560 Scranton-Wilkes Barre, PA",7560,23200,25500,28600,32800,34900,34900,37700,40500,43300,50600,51300,51700,55600
7600,"7600 Seattle, WA",7600,32800,35900,39800,43900,48000,51500,55100,62600,72200,71900,72250,70900,79000
7680,"7680 Shreveport, LA",7680,26150,28500,30400,34400,32300,32400,36000,37900,39800,47600,48000,46533.33,50200
7840,"7840 Spokane, WA",7840,25700,28800,30200,32600,35000,36500,39900,43700,45800,54600,54600,57600,60200
8000,"8000 Springfield, MA",8000,27200,30200,36100,39500,39500,40200,45500,46400,49700,56800,61500,61800,67200
8040,"8040 Stamford, CT",8040,44550,53700,64800,73300,73400,77100,86600,94300,109800,110500,111600,111000,122300
8120,"8120 Stockton, CA",8120,26050,28600,32100,34000,38200,40200,42600,44300,46900,50600,55300,60300,63600
8160,"8160 Syracuse, NY",8160,28200,31200,34400,39000,41400,41400,43600,45400,47900,52700,57400,57625,62500
8200,"8200 Tacoma, WA",8200,26700,29400,31900,35000,38700,41300,44800,48900,51000,60200,62100,61500,68100
8280,"8280 Tampa-Saint Petersburg-Clearwater, FL",8280,22950,26000,29600,33800,34900,36400,40500,45600,47700,49700,52150,53900,59200
8400,"8400 Toledo, OH",8400,29050,31500,35200,39400,40800,41200,44500,50200,53600,56800,58200,57600,61800
8480,"8480 Trenton, NJ",8480,32350,35700,41700,48400,53900,55600,61100,65000,71100,76800,83800,84900,90100
8520,"8520 Tucson, AZ",8520,24900,27300,29400,30900,35700,35800,40100,43600,46000,48600,50400,52400,57500
8560,"8560 Tulsa, OK",8560,29250,30800,33900,36200,37500,37500,40900,43700,46800,52200,54500,52500,57600
8680,"8680 Utica-Rome, NY",8680,23850,26400,28400,32100,35200,35200,37200,38600,40500,47600,51400,52400,55800
8720,"8720 Vallejo-Fairfield-Napa, CA",8720,30250,34600,38800,42200,46800,47800,51800,52300,55700,67800,73900,75600,80600
8840,"8840 Washington, DC-MD-VA",8840,37150,44500,51000,57300,60600,62700,70300,78900,85600,84800,89300,94500,102700
8880,"8880 Waterbury, CT",8880,29500,32800,39100,43500,47000,49100,54700,55900,60700,64600,66550,68740,74820
8960,"8960 West Palm Beach-Boca Raton, FL",8960,27900,32400,37600,43500,43100,44500,48800,55600,60000,60800,62100,61200,67600
9040,"9040 Wichita, KS",9040,30900,35000,38000,42900,41200,42400,45800,50700,59000,54600,58850,56600,62900
9240,"9240 Worcester, MA",9240,29200,32600,37900,43000,44300,45300,51000,52600,57000,68000,70850,72177.14,79022.86
9320,"9320 Youngstown-Warren, OH",9320,28500,29100,32200,34900,35700,35700,38900,42500,44300,49600,50950,50133.33,52900
